id,question,hint,answer,created_at,updated_at,note_id
1,スクショ,"",command + shift + 4,2020-12-17 09:52:38.748029+00,2020-12-17 09:52:38.748059+00,2
2,動画キャプチャ,"",command + shift + 5,2020-12-17 09:53:39.318444+00,2020-12-17 09:53:39.318472+00,2
3,絵文字の入力,"",control + command + space,2020-12-17 09:54:24.103744+00,2020-12-17 09:54:24.103773+00,2
4,ひらがな変換,"",control + J,2020-12-17 09:54:44.024328+00,2020-12-17 09:54:44.02436+00,2
5,カタカナ変換,"",control + K,2020-12-17 09:55:03.044069+00,2020-12-17 09:55:03.044102+00,2
6,カレントディレクトリを表示,「カレントディレクトリ」は、現在いる場所のディレクトリのことです,pwd,2020-12-17 10:19:44.507151+00,2020-12-17 10:20:40.681655+00,3
7,ファイルの一覧,"",ls,2020-12-17 10:21:06.077657+00,2020-12-17 10:21:06.077684+00,3
8,pictureディレクトリに移動,"",cd picture,2020-12-17 10:23:51.92856+00,2020-12-17 10:23:51.92859+00,3
9,親のディレクトリへ移動,親のディレクトリは、一つ上のディレクトリの意味です。,"cd ..

(ちなみに、「cd ../..」と打ち込むと2つ上のディレクトリへ移動します)",2020-12-17 10:25:53.342524+00,2020-12-17 10:25:53.342554+00,3
10,homeディレクトリへ移動,「homeディレクトリ」は、ログインしたユーザの基本となるディレクトリのことです。,"cd ~

(MacやLinuxの場合、単に「cd」と打ち込むことでもhomeディレクトリに移動できます。",2020-12-17 10:28:39.818961+00,2020-12-17 10:29:16.999765+00,3
11,shellファイル(bash)の作成,"","#!/bin/bash

ls",2020-12-17 10:38:31.456521+00,2020-12-17 10:38:31.456549+00,3
12,shellファイルの実行,"",source name.sh,2020-12-17 10:39:26.828955+00,2020-12-17 10:39:47.817903+00,3
16,レスポンスとは何か,"","リクエストを元に作成された、HTMLファイルなどのデータ、またはエラーデータのこと。

例えば、サーバが「1000〜2000年の天気を取得」というリクエストを受け取った時、「2000年の天気」をレスポンスとして返したり、「1000年の天気は見つからない(404)」とエラーのレスポンスをクライアントに返したりする。",2020-12-17 12:52:18.527993+00,2020-12-17 13:48:23.025911+00,4
13,Webとは何か,"","クライアントがサーバに接続し「データ」に「何らかの操作」を行うネットワークのことです。
「何らかの操作」は「作成/取得/更新/削除」など多岐に渡ります。

例えば、Yahooのページにアクセスすると「ニュースや天気などの情報」を「取得」することや、Googleのサイトでログインし「ユーザ名」を「更新」する操作が例になります。",2020-12-17 11:15:27.848033+00,2020-12-17 11:21:58.800806+00,4
48,"- コンテナの状態

docker ps
docker ps -a
docker ps -q
docker ps -l
docker ps -lq","","起動中のコンテナ一覧
全てのコンテナ一覧
コンテナID一覧
最後に生成したコンテナ
最後に生成したコンテナID",2020-12-18 08:57:41.825215+00,2020-12-18 08:57:50.492682+00,7
50,ボリューム,"","コンテナ内のデータを、ホスト機に保存させる仕組みのこと。

コンテナは、何か問題が起きた時すぐに捨ててしまいます。
ただ、コンテナ内のデータも消えてしまいます。中には保存したいデータもあります。

例えば、ユーザが投稿した画像、サーバのログなどは永続的に保存したいデータです。
ボリュームは、このようなデータをホスト機に保存し、新たなコンテナに適用させる仕組みのことです。",2020-12-18 09:11:24.391856+00,2020-12-18 09:11:24.391902+00,7
14,クライアントとは何か,"","スマホやパソコンなど、ユーザが操作する機器のこと。
クライアントの役割は、サーバに「リクエスト」を送り、サーバからの「レスポンス」を受け取ることです。",2020-12-17 11:18:51.556783+00,2020-12-17 12:31:49.695972+00,4
15,リクエストとは何か,"","「データの作成/取得/更新/削除」などの操作を、サーバに要求(リクエスト)することを言います。

受け取ったリクエストから、サーバはクライアントに「レスポンス」を返します。",2020-12-17 12:39:38.491399+00,2020-12-17 12:39:38.491449+00,4
52,docker run -it -v ubuntu_dv:/tmp ubuntu /bin/bash,"-v: ホスト機とコンテナのディレクトリをマウントするオプションです。

マウントは「同期」と似た意味だと思ってください。
「ubuntu_dv」は、データボリュームのことです。","ubuntu_dvというデータボリュームと、コンテナの/tmpディレクトリをマウントしてubuntuコンテナを起動。

ここでは、コンテナ内の/tmpフォルダに何かしらファイルを作成すると、ubuntu_dvに保存されるようになります。

ubuntu_dvは、ホスト機に作成されます。
このコンテナが削除されても、ubuntu_dvは残り、新たなコンテナに再度マウントできます。",2020-12-18 09:18:59.458332+00,2020-12-18 09:20:17.545087+00,7
